Disease	Microbe	Position	Evidence	PMID
Colon cancer	Collinsella aerofaciens	Gastrointestinal tract	Increase	7574628
Periodontal	Fusobacterium	Subgingival	Increase	9495612
Periodontal	Porphyromonas gingivalis	Subgingival	Increase	9495612
Periodontal	Prevotella	Subgingival	Increase	9495612
Periodontal	Treponema	Subgingival	Increase	9495612
Gastric and duodenal ulcer	Helicobacter pylori	Gastric	Increase	9863476
Gastro-oesophageal reflux	Helicobacter pylori	Gastric	Decrease	9863476
Guttate psoriasis	Staphylococcus aureus	Skin	Increase	10671976
Atopy	Clostridia	Gastrointestinal tract	Increase	11150002
Diarrhea Irritable bowel syndrome(IBS)	Bifidobacterium	Gastrointestinal tract	Decrease	15667495
Irritable bowel syndrome(IBS)	Bifidobacterium catenulatum	Gastrointestinal tract	Decrease	15667495
Irritable bowel syndrome(IBS)	Clostridium coccoides	Gastrointestinal tract	Decrease	15667495
Diarrhea Irritable bowel syndrome(IBS)	Desulfovibrio	Gastrointestinal tract	Decrease	15667495
Irritable bowel syndrome(IBS)	Ruminococcus productus	Gastrointestinal tract	Increase	15667495
Constipation Irritable bowel syndrome(IBS)	Veillonella	Gastrointestinal tract	Increase	15667495
Obesity	Bacteroidetes	Cecal	Decrease	16033867
Obesity	Firmicutes	Cecal	Increase	16033867
Ileal Crohn's disease(CD)	Bacteroides fragilis	Gastrointestinal tract	Decrease	16188921
Ileal Crohn's disease(CD)	Clostridium coccoides	Gastrointestinal tract	Decrease	16188921
Ileal Crohn's disease(CD)	Clostridium leptum	Gastrointestinal tract	Decrease	16188921
Ileal Crohn's disease(CD)	Prevotella	Gastrointestinal tract	Decrease	16188921
Bacterial Vaginosis	Atopobium	Vaginal	Increase	16267321
Bacterial Vaginosis	Atopobium vaginae	Vaginal	Increase	16267321
Bacterial Vaginosis	Clostridiales	Vaginal	Increase	16267321
Bacterial Vaginosis	Eggerthella	Vaginal	Increase	16267321
Bacterial Vaginosis	Gardnerella vaginalis	Vaginal	Increase	16267321
Bacterial Vaginosis	Lactobacillus  crispatus	Vaginal	Decrease	16267321
Bacterial Vaginosis	Leptotrichia	Vaginal	Increase	16267321
Bacterial Vaginosis	Megasphaera	Vaginal	Increase	16267321
Infectious colitis	Bacteroides	Gastrointestinal tract	Increase	16432374
Ulcerative colitis	Clostridium coccoides	Gastrointestinal tract	Decrease	16432374
Crohn's disease(CD)	Clostridium leptum	Gastrointestinal tract	Decrease	16432374
Allergic sensitization	Clostridium difficile	Gastrointestinal tract	Increase	17047098
Atopic dermatitis	Clostridium difficile	Gastrointestinal tract	Increase	17047098
Atopic sensitisation	Clostridium difficile	Gastrointestinal tract	Increase	17047098
Eczema	Clostridium difficile	Gastrointestinal tract	Increase	17047098
Recurrent wheeze	Clostridium difficile	Gastrointestinal tract	Increase	17047098
Eczema	Escherichia coli	Gastrointestinal tract	Increase	17047098
Obesity	Bacteroidetes	Gastrointestinal tract	Decrease	17183309
Obesity	Firmicutes	Gastrointestinal tract	Increase	17183309
Allergy	Helicobacter pylori	Gastric	Decrease	17452546
Asthma	Helicobacter pylori	Gastric	Decrease	17452546
Irritable bowel syndrome(IBS)	Clostridium cocleatum	Gastrointestinal tract	Decrease	17631127
Irritable bowel syndrome(IBS)	Collinsella aerofaciens	Gastrointestinal tract	Decrease	17631127
Irritable bowel syndrome(IBS)	Coprococcus	Gastrointestinal tract	Increase	17631127
Inflammatory bowel disease(IBD)	Actinobacteria	Gastrointestinal tract	Decrease	17699621
Inflammatory bowel disease(IBD)	Lachnospiraceae	Gastrointestinal tract	Increase	17699621
Inflammatory bowel disease(IBD)	Proteobacteria	Gastrointestinal tract	Decrease	17699621
Atopic dermatitis	Dietzia maris	Skin	Decrease	18033838
Atopic dermatitis	Stenotrophomonas maltophilia	Skin	Increase	18033838
Cystic fibrosis	Coxiellaceae	Bronchoalveolar	Increase	18077362
Cystic fibrosis	Lysobacter	Bronchoalveolar	Increase	18077362
Cystic fibrosis	Rickettsiales	Bronchoalveolar	Increase	18077362
Cystic fibrosis	Staphylococcus aureus	Bronchoalveolar	Increase	18077362
Cystic fibrosis	Stenotrophomonas maltophilia	Bronchoalveolar	Increase	18077362
Cystic fibrosis	Streptococcus mitis	Bronchoalveolar	Decrease	18077362
Obesity	Staphylococcus aureus	Gastrointestinal tract	Increase	18326589
Crohn's disease(CD)	Bacteroides ovatus	Gastrointestinal tract	Increase	18401439
Ileal Crohn's disease(CD)	Bacteroides ovatus	Gastrointestinal tract	Increase	18401439
Crohn's disease(CD)	Bacteroides uniformis	Gastrointestinal tract	Decrease	18401439
Ileal Crohn's disease(CD)	Bacteroides uniformis	Gastrointestinal tract	Decrease	18401439
Crohn's disease(CD)	Bacteroides vulgatus	Gastrointestinal tract	Increase	18401439
Ileal Crohn's disease(CD)	Bacteroides vulgatus	Gastrointestinal tract	Increase	18401439
Bacterial Vaginosis	Betaproteobacteria	Vaginal	Increase	18487399
